month,item_no,item_cn,item_en,unit,value,source_url
2026-01,1,外汇储备,Foreign currency reserves,100million USD,33990.78,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,1,外汇储备,Foreign currency reserves,100million SDR,24597.67,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,1,外汇储备,Foreign currency reserves,100million USD,34278.07,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,1,外汇储备,Foreign currency reserves,100million SDR,24933.77,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,1,外汇储备,Foreign currency reserves,100million USD,33421.23,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,1,外汇储备,Foreign currency reserves,100million SDR,24639.84,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,1,外汇储备,Foreign currency reserves,100million USD,34105.47,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,1,外汇储备,Foreign currency reserves,100million SDR,24857.91,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,2,基金组织储备头寸,IMF reserve position,100million USD,111.98,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,2,基金组织储备头寸,IMF reserve position,100million SDR,81.04,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,2,基金组织储备头寸,IMF reserve position,100million USD,111.40,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,2,基金组织储备头寸,IMF reserve position,100million SDR,81.03,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,2,基金组织储备头寸,IMF reserve position,100million USD,109.03,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,2,基金组织储备头寸,IMF reserve position,100million SDR,80.38,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,2,基金组织储备头寸,IMF reserve position,100million USD,109.38,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,2,基金组织储备头寸,IMF reserve position,100million SDR,79.72,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,3,特别提款权,SDRs,100million USD,562.34,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,3,特别提款权,SDRs,100million SDR,406.94,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,3,特别提款权,SDRs,100million USD,560.93,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,3,特别提款权,SDRs,100million SDR,408.02,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,3,特别提款权,SDRs,100million USD,553.43,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,3,特别提款权,SDRs,100million SDR,408.02,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,3,特别提款权,SDRs,100million USD,560.33,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,3,特别提款权,SDRs,100million SDR,408.40,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,4,黄金,Gold,100million USD,3695.82,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,4,黄金,Gold,100million SDR,2674.51,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,4,黄金,Gold,100million USD,3875.88,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,4,黄金,Gold,100million SDR,2819.30,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,4,黄金,Gold,100million USD,3427.63,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,4,黄金,Gold,100million SDR,2527.02,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,4,黄金,Gold,100million USD,3441.72,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,4,黄金,Gold,100million SDR,2508.51,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,5,其他储备资产,Other reserve assets,100million USD,1.89,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,5,其他储备资产,Other reserve assets,100million SDR,1.37,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,5,其他储备资产,Other reserve assets,100million USD,0.65,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,5,其他储备资产,Other reserve assets,100million SDR,0.47,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,5,其他储备资产,Other reserve assets,100million USD,-0.09,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,5,其他储备资产,Other reserve assets,100million SDR,-0.07,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,5,其他储备资产,Other reserve assets,100million USD,0.27,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,5,其他储备资产,Other reserve assets,100million SDR,0.20,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,,合计,Total,100million USD,38362.81,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,,合计,Total,100million SDR,27761.53,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,,合计,Total,100million USD,38826.93,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,,合计,Total,100million SDR,28242.59,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,,合计,Total,100million USD,37511.23,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,,合计,Total,100million SDR,27655.19,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,,合计,Total,100million USD,38217.17,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,,合计,Total,100million SDR,27854.74,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-01,4,黄金储备数量,Gold reserves volume,10000 fine troy ounces,7419,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-02,4,黄金储备数量,Gold reserves volume,10000 fine troy ounces,7422,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-03,4,黄金储备数量,Gold reserves volume,10000 fine troy ounces,7438,https://www.safe.gov.cn/safe/2026/0206/27116.html
2026-04,4,黄金储备数量,Gold reserves volume,10000 fine troy ounces,7464,https://www.safe.gov.cn/safe/2026/0206/27116.html
